Graduate,Skill,Wellfare,Personality,Credit History,,High School,Primary School,Ok,Not Ok,Poor,Very Poor,Good,Moderate,Bad,Succed,Not Succed
High School,Ok,Poor,Good,Succed,,,,,,,,,,,,
Primary School,Not Ok,Very Poor,Good,Not Succed,,,,,,,,,,,,
Primary School,Ok,Poor,Moderate,Not Succed,,,,,,,,,,,,
High School,Ok,Poor,Good,Succed,,,,,,,,,,,,
Primary School,Not Ok,Poor,Good,Not Succed,,,,,,,,,,,,
Primary School,Ok,Very Poor,Moderate,Not Succed,,,,,,,,,,,,
Primary School,Ok,Poor,Bad,Not Succed,,,,,,,,,,,,
Primary School,Not Ok,Poor,Good,Not Succed,,,,,,,,,,,,
Primary School,Not Ok,Poor,Good,Not Succed,,,,,,,,,,,,
Primary School,Ok,Poor,Bad,Not Succed,,,,,,,,,,,,
High School,Ok,Poor,Good,Succed,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Credit History=Not Succed ==> Graduate=Primary School ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Credit History,Graduate,x,,Support,Confidence,Lift,,,,,,,,,,
0,0,0,,0.727272727,1,1.38,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,
S,,8,,,,,,,,,,,,,,
